posting_year,job_title,predicted_risk,risk_order,risk_percentage,rank,base_percentage,year_effect,job_variation
2026,Product Manager,High,3,83.60571445127933,1.0,80,0,3.6057144512793293
2026,AI Researcher,High,3,82.92940916619948,2.0,80,0,2.9294091661994814
2026,ML Engineer,High,3,81.85595153449124,3.0,80,0,1.8559515344912407
2026,Data Scientist,High,3,81.66458062236836,4.0,80,0,1.664580622368364
2026,Research Scientist,High,3,80.80892009394567,5.0,80,0,0.8089200939456704
2026,Software Engineer,High,3,80.78926787357629,6.0,80,0,0.7892678735762928
2026,Policy Analyst,High,3,78.9963209507789,7.0,80,0,-1.0036790492211
2026,Systems Engineer,High,3,77.24814912353949,8.0,80,0,-2.751850876460508
2026,Operations Manager,High,3,77.24795616268962,9.0,80,0,-2.752043837310379
2026,Business Analyst,High,3,76.46466889734559,10.0,80,0,-3.5353311026544043
2027,Product Manager,High,3,86.75927881729595,1.0,80,3,3.7592788172959546
2027,AI Researcher,High,3,85.65954112640337,2.0,80,3,2.659541126403374
2027,Systems Engineer,High,3,83.1980514530579,3.0,80,3,0.19805145305790273
2027,Policy Analyst,High,3,82.45556014913693,4.0,80,3,-0.5444398508630739
2027,Software Engineer,High,3,81.4339379436763,5.0,80,3,-1.5660620563236982
2027,Research Scientist,High,3,81.32983312158433,6.0,80,3,-1.6701668784156647
2027,Operations Manager,High,3,80.6987128854262,7.0,80,3,-2.3012871145737908
2027,ML Engineer,High,3,80.46723607882747,8.0,80,3,-2.5327639211725295
2027,Business Analyst,High,3,80.4545997376568,9.0,80,3,-2.545400262343195
2027,Data Scientist,High,3,79.16467595436642,10.0,80,3,-3.8353240456335804
2028,Research Scientist,High,3,88.28140769114411,1.0,80,6,2.281407691144109
2028,Data Scientist,High,3,86.89482315777903,2.0,80,6,0.8948231577790358
2028,Operations Manager,High,3,86.73931655089633,3.0,80,6,0.7393165508963397
2028,Policy Analyst,High,3,86.11387550730889,4.0,80,6,0.11387550730889284
2028,AI Researcher,High,3,85.64855987373629,5.0,80,6,-0.35144012626371257
2028,Software Engineer,High,3,84.93089474634954,6.0,80,6,-1.0691052536504664
2028,ML Engineer,High,3,84.33715718828175,7.0,80,6,-1.6628428117182548
2028,Business Analyst,High,3,83.59739025726688,8.0,80,6,-2.402609742733122
2028,Product Manager,High,3,83.11595088521634,9.0,80,6,-2.8840491147836653
2028,Systems Engineer,High,3,82.37160330175998,10.0,80,6,-3.628396698240018
2029,Research Scientist,High,3,92.72505626459647,1.0,80,9,3.725056264596475
2029,Operations Manager,High,3,92.59108429802667,2.0,80,9,3.591084298026666
2029,Business Analyst,High,3,91.46717878493169,3.0,80,9,2.467178784931689
2029,Software Engineer,High,3,90.47386421209725,4.0,80,9,1.4738642120972552
2029,Data Scientist,High,3,89.86035881521151,5.0,80,9,0.8603588152115069
2029,Product Manager,High,3,88.52121994991681,6.0,80,9,-0.4787800500831896
2029,Policy Analyst,High,3,87.43691015338696,7.0,80,9,-1.5630898466130345
2029,Systems Engineer,High,3,86.36419298949833,8.0,80,9,-2.6358070105016678
2029,ML Engineer,High,3,85.78137691205107,9.0,80,9,-3.218623087948929
2029,AI Researcher,High,3,85.52041274388223,10.0,80,9,-3.479587256117764
2030,Research Scientist,High,3,95.27456321663026,1.0,80,12,3.2745632166302565
2030,ML Engineer,High,3,93.30017827483185,2.0,80,12,1.3001782748318558
2030,AI Researcher,High,3,92.37368223474624,3.0,80,12,0.3736822347462372
2030,Business Analyst,High,3,92.16054416942248,4.0,80,12,0.1605441694224865
2030,Product Manager,High,3,91.96141528089017,5.0,80,12,-0.03858471910983852
2030,Systems Engineer,High,3,90.49368860871529,6.0,80,12,-1.5063113912847124
2030,Data Scientist,High,3,90.07023985280014,7.0,80,12,-1.9297601471998647
2030,Software Engineer,High,3,89.47883564420421,8.0,80,12,-2.5211643557957837
2030,Policy Analyst,High,3,88.97630587875823,9.0,80,12,-3.0236941212417694
2030,Operations Manager,High,3,88.27510816892175,10.0,80,12,-3.724891831078253
